id,question,choices,explanation,answer
1051,"Năm nay, toàn bộ số vải thiều gia đình bác Minh thu hoạch được đã được hai thương lái thu mua hết tại vườn. Thương lái thứ nhất thu mua 5 450 kg vải thiều, thương lái thứ hai thu mua ít hơn thương lái thứ nhất 2 400 kg. Vậy số vải thiều năm nay gia đình bác Minh thu hoạch được là:","['A. 8 000 kg', 'B. 7 850 kg', 'C. 3 050 kg', 'D. 8 500 kg']","Thương lái thứ hai thu mua số vải thiều là:
 5 450 – 2 400 = 3 050 (kg)
 Số vải thiều năm nay gia đình bác Minh thu hoạch được là:
 5 450 + 3 050 = 8 500 (kg)
 Đáp số: 8 500 kg",D. 8 500 kg
1054,Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó:,"['A. Tăng lên 10 đơn vị', 'B. Giảm đi 10 đơn vị', 'C. Tăng lên 10 lần', 'D. Giảm đi 10 lần']",Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó tăng lên 10 lần.,C. Tăng lên 10 lần
1056,Nếu ngày 13 tháng 8 là thứ Ba thì ngày 21 tháng 8 là thứ mấy?,"['A. Thứ Sáu', 'B. Thứ Hai', 'C. Thứ Năm', 'D. Thứ Tư']",Ta có: $13 + 7 = 20$ . Vậy ngày 20 vẫn là thứ Ba Vậy ngày 21 là thứ Tư.,D. Thứ Tư
1057,Nếu ngày 15 tháng 3 là thứ Ba thì ngày 21 tháng 3 là thứ mấy?,"['A. Thứ Hai', 'B. Thứ Ba', 'C. Thứ Tư', 'D. Thứ Năm']","Ta có: 21 – 15 = 6 (ngày)
 Vậy ngày 21 tháng 3 là thứ Hai",B. Thứ Ba
1058,Nếu ngày 29 tháng 5 là thứ Hai thì ngày 1 tháng 6 cùng năm đó là:,"['A. Thứ Ba', 'B. Thứ Tư', 'C. Thứ Năm', 'D. Thứ Sáu']","Tháng 5 có 31 ngày.Ngày 30 tháng 5 là thứ Ba, 31 tháng 5 là thứ Tư vậy ngày 1 tháng 6 là thứ Năm.",C. Thứ Năm
106,15% của 320 kg là:,"['A. 140 kg', 'B. 401 kg', 'C. 480 kg', 'D. 48 kg']","15% của 320 kg là:320 ${\times}$ 15 : 100 = 48(kg)
 Đáp số: 48 kg",D. 48 kg
1060,Nếu tăng bán kính của mặt cầu lên 4 lần thì diện tích mặt cầu tăng lên bao nhiêu lần?,"['A. 16', 'B. 8', 'C. 4', 'D. 64']",Tăng bán kính mặt cầu lên 4 lần thì diện tích mặt cầu tăng 16 lần.,A. 16
1061,Nếu tăng chiều dài và chiều rộng của một hình chữ nhật thêm 8 cm thì chu vi của hình chữ nhật đó tăng thêm là:,"['A.16 cm', 'B. 24 cm', 'C. 32 cm', 'D. 36 cm']","Tổng chiều dài và chiều rộng tăng thế là: $8 + 8 = 16$ (cm)
 Chu vi hình chữ nhật tăng thêm là: 16 ${\times}$ 2 = 32 (cm)
 Đáp số: 32 cm",C. 32 cm
1069,Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ mấy?,"['A. Thứ Hai', 'B. Thứ Ba', 'C. Thứ Tư', 'D. Thứ Năm']","Một tuần có 7 ngày
 Ngày 5 là thứ Sáu thì thứ Sáu tuần sau là ngày 12 (vì 5 + 7 = 12 )
 Vậy ngày 11 là thứ Năm, ngày 10 là thứ Tư.
 Vậy Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ Tư.",C. Thứ Tư
107,15% của 40 là:,"['A. 6', 'B. 300', 'C. 275', 'D. 60']",,A. 6
1070,Ngày 6 tháng 6 năm 2022 là Thứ Hai. Vậy Thứ Hai tiếp theo của tháng 6 vào ngày nào?,"['A. Ngày 10', 'B. Ngày 11', 'C. Ngày 12', 'D. Ngày 13']","Một tuần có 7 ngày, Thứ Hai tiếp theo của tháng 6 là ngày 13 (vì 6 + 7 = 13).",D. Ngày 13
1071,"Ngày thứ nhất, bác Thái thu hoạch được 250 kg nhãn. Ngày thứ hai, số ki- lô-gam nhãn bác Thái thu hoạch được đã giảm đi 2 lần so với ngày thứ nhất. Vậy cả hai ngày bác Thái thu hoạch được số ki-lô-gam nhãn là:","['A. 500 kg', 'B. 750 kg', 'C. 125kg', 'D. 375 kg']","Ngày thứ hai, bác Thái thu hoạch được số ki-lô-ham nhãn là: 250 : 2 = 125 (kg) 
 Cả hai ngày bác Thái thu hoạch được số ki-lô-gam nhãn là: $250 + 125 = 375$ (kg)
 Đáp số: 375 kg",D. 375 kg
1078,Nhà Hiền có 7 con lợn. Số ga nhiều hơn số lợn 63 con. Vậy số gà gấp số lợn là:,"['A. 7 lần', 'B. 8 lần', 'C. 9 lần', 'D. 10 lần']","Nhà Hiền có số con gà là: 63 + 7 = 70 (con)
 Số gà gấp số lợn là: 70 : 7 = 10 (lần)",D. 10 lần
1079,"Nhà Hoa có 25 kg gạo. Mẹ Hoa mua thêm 25 kg gạo nữa rồi đóng tất cả số gạo hiện có thành 5 túi như nhau, tặng cho các gia đình khó khăn trong xóm. Mỗi túi gạo cân nặng là:","['A. 5 kg', 'B. 10 kg', 'C. 30 kg', 'D. 20 kg']","Tổng số gạo mẹ Hoa hiện có là: $25 + 25 = 50$ (kg)
 Mỗi túi gạo cân nặng là:50 : 5 = 10 (kg)",B. 10 kg
108,15880 : 63 = ?,"['A. 2511 (dư 4)', 'B. 251 (dư 67)', 'C. 252 (dư 4)', 'D. 252 (dư 3)']",,C. 252 (dư 4)
1081,Nhân viên y tế mất khoảng 5 phút để tiêm xong vắc-xin cho một người. Bố xếp hàng đợi tiêm lúc 9 giờ 20 phút. Phía trước bố còn 6 người nữ. Vậy bố sẽ được tiêm vắc-xin xong lúc:,"['A. 9 giờ 50 phút', 'B. 10 giờ 5 phút', 'C. 10 giờ kém 5 phút', 'D. 9 giờ 25 phút']","Người tiêm hết số thời gian là: 6 ${\times}$ 5 = 30 (phút)
 Bố sẽ được tiêm vắc-xin xong lúc: 9 giờ 20 phút + 30 phút + 5 phút = 9 giờ 55 phút 9 giờ 55 phút = 10 giờ kém 5 phút",C. 10 giờ kém 5 phút
1084,"Phần nguyên của số 1942,54 là:","['A. 54', 'B. 194254', 'C. 1942', 'D. 1924,54']","Phần nguyên của số 1942,54 là: 1942",C. 1942
1086,"Phần nguyên của số thập phân 345,128 là:","['A. 128', 'B. 0,128', 'C. 5,128', 'D. 345']","Phần nguyên của số thập phân là phần đứng trước dấu phẩy của số thập phân. Do đó phần nguyên của số thập phân 345,128 là: 345.",D. 345
1088,Phân số $\frac{15}{1000}$ được viết dưới dạng số thập phân là:,"['A. 1,5', 'B. 0,15', 'C. 0,015', 'D. 0,0015']","Ta có: $\frac{15}{1000}$ = 0,15
 Vậy nên phân số $\frac{15}{1000}$ được viết dưới dạng số thập phân là: 0,15.","B. 0,15"
1089,Phân số $\frac{2}{5}$ viết dưới dạng phân số thập phân là:,"['A. $\\frac{80}{200}$ ', 'B. $\\frac{16}{40}$ ', 'C. $\\frac{40}{100}$ ', 'D. $\\frac{80}{20}$ ']",Ta có: $\frac{2}{5}$ = $\frac{2\times 20}{5\times 20}$ = $\frac{40}{100}$ .,C. $\frac{40}{100}$ 
109,15m2 7dm2 = ….. m2. Số thích hợp điền vào chố chấm là:,"['A. 15,07 m2', 'B. 156 m2', 'C. 15,7 m2', 'D. 15,007 m2']","Ta có: $7dm^{2}=\frac{7}{100}m^{2}=0,07m^{2}$. Vậy: 15m2 7dm2 = 15 m2 + 0,07 m2 = 15,07 m2. Vậy số thích hợp điền vào chố chấm là : 15,07 m2","A. 15,07 m2"
1090,Phân số $\frac{3}{25}$ được viết dưới dạng phân số thập phân là:,"['A. $\\frac{12}{100}$', 'B. $\\frac{6}{50}$', 'C. $\\frac{24}{200}$', 'D. $\\frac{48}{400}$']","Ta có: 
 $\frac{3}{25}$ = $\frac{3\times 4}{25\times 4}$ = $\frac{12}{100}$ .
 Vậy phân số $\frac{3}{25}$ được viết dưới dạng phân số thập phân là: $\frac{12}{100}$ .",A. $\frac{12}{100}$
1091,Phân số $\frac{3}{4}$ bằng phân số nào trong các phân số sau?,"['A. $\\frac{7}{11}$', 'B. $\\frac{5}{6}$', 'C. $\\frac{9}{12}$', 'D. $\\frac{4}{5}$']","$\frac{9}{12}=\frac{9\colon 3}{12\colon 3}=\frac{3}{4}$ . 
 Phân số $\frac{3}{4}$ bằng phân số $\frac{9}{12}$",A. $\frac{7}{11}$
11,"Bố an gói 10 cặp bánh chưng, sau đó chia đều cho 5 gia đình có hoàn cảnh khó khăn trong xóm. Số bánh chưng mỗi gia đình nhận được là:","['A. 2 cái', 'B. 3 cái', 'C. 4 cái', 'D. 5 cái']",Ta có: 10 cặp = 20 cáiSố bánh chưng mỗi gia đình nhận được là:20 : 5 = 4 (cái),C. 4 cái
110,16 giờ 15 phút - 3 giờ 45 phút … 9 giờ 25 phút + 2 giờ 39 phút là,"['A. <', 'B. >', 'C. =']",,B. >
1100,Phân số $\frac{97}{1000}$ viết dưới dạng số thập phân là:,"['A. 9,7', 'B. 0,97', 'C. 0,907', 'D. 0,097']","Phân số $\frac{97}{1000}$ viết dưới dạng số thập phân là: 0,097.","D. 0,097"
111,16 là tích của hai số nào?,"['A. 5 và 3', 'B. 2 và 8', 'C. 7 và 2', 'D. 4 và 5']","Ta có: 5 ${\times}$ 3 = 152 ${\times}$ 8 = 167 ${\times}$ 2 = 144 ${\times}$ 5 = 20
 Vậy 16 là tích của 2 và 8",B. 2 và 8
1111,Phân số thập phân $\frac{205}{100}$ được viết dưới dạng số thập phân là:,"['A. 20,5', 'B. 0,0205', 'C. 2,05', 'D. 0,205']","Ta có: 205 : 100 = 2,05. 
 Vậy phân số thập phân $\frac{205}{100}$ được viết dưới dạng số thập phân là: 2,05","C. 2,05"
1112,Phân số thập phân “Ba trăm hai mươi tư phần một nghìn” được viết là:,"['A. $\\frac{3204}{1000}$', 'B. $\\frac{324}{1000}$', 'C. $\\frac{324}{100}$', 'D. $\\frac{30024}{1000}$']",Phân số thập phân “Ba trăm hai mươi tư phần một nghìn” được viết là: $\frac{324}{1000}$ .,B. $\frac{324}{1000}$
112,168 phút = … giờ,"['A. 2,6 giờ', 'B. 2,4 giờ', 'C. 2 giờ', 'D. 2,8 giờ']",,"D. 2,8 giờ"
1129,"Phép tính 712,54 – 48,9 có kết quả là:","['A. 70,765', 'B. 223,54', 'C. 663,64', 'D. 707,65']","Phép tính 712,54 – 48,9 có kết quả là: 663,64.","C. 663,64"
113,18% của 45m2 là:,"['A. 8,1m', 'B. 8,1m2', 'C. 25m2', 'D. 25']","18% của 45m2 là: 45 ${\times}$ 18 : 100 = 8,1 (m2).","B. 8,1m2"
1130,Phép tính có kết quả là số liền sau của số nhỏ nhất có hai chữ số giống nhau là:,"['A. 8 + 4', 'B. 7 + 6', 'C. 9 + 5', 'D. 16 – 6']","Số nhỏ nhất có hai chữ số giống nhau là: 11
 Số liền sau của 11 là: 11 + 1 = 12
 Ta có:
 8 + 4 = 12
 7 + 6 = 13
 9 + 5 14
 16 – 6 = 10
 Vậy phép tính có kết quả là 12: 8 + 4",A. 8 + 4
1131,Phép tính có kết quả là số tròn chục là:,"['A. 46 + 11', 'B. 56 – 6', 'C. 32 + 25', 'D. 85 – 31']","Ta có:
 46 + 11 = 57
 56 – 6 = 50
 32 + 25 = 57
 85 – 31 = 54
 Vậy phép tính 56 – 6 có kết quả là số tròn chục.",B. 56 – 6
1139,Phép tính có kết quả nhỏ nhất là:,"['A. 1 + 2', 'B. 2 + 2', 'C. 1 + 4', 'D. 1 + 1']","1 + 2 = 3$$2 + 2 = 4$$1 + 4 = 5$$1 + 1 = 2$
 So sánh kết quả ta được: 2 < 3 < 4 < 5
 Vậy phép tính có kết quả nhỏ nhất là: 1 + 1",D. 1 + 1
114,1m 3 dm = …. cm. Số thích hợp để điền vào chỗ chấm là:,"['A. 13', 'B. 103', 'C. 130', 'D. 31']",1m = 100 cm;3 dm = 30 cm. Vậy 1m 3dm = 100 cm + 30 cm = 130 cm.,C. 130
1148,"Phú Quý là tên một hòn đảo thuộc tỉnh Phan Thiết. Có 30 971 người hiện đang sinh sống trên đảo. Nếu làm tròn số người sinh sống trên đảo đến hàng nghìn, ta có thể nói: số người sinh sống trên đảo Phú Quý khoảng:","['A. 30 000 người', 'B. 40 000 người', 'C. 31 000 người', 'D. 29 000 người']","Để làm tròn số 30 971 đến hàng nghìn ta xét chữ số hàng trăm.
 Ta có 9 > 5 nên làm tròn lên
 Ta được số 31 000.",C. 31 000 người
115,2 ${\times}$ 9 ? – 28 5 ${\times}$ 3,"['A. 52', 'B. 53', 'C. 41', 'D. 45']",,D. 45
1156,"Sáng nay, ông Bình chạy bộ 30 phút quanh công viên. Khi ông chạy bộ xong, đồng hồ chỉ 6 giờ 15 phút. Vậy ông Bình bắt đầu chạy bộ lúc:","['A. 5 giờ kém 15 phút', 'B. 6 giờ kém 5 phút', 'C. 5 giờ 45 phút', 'D. 6 giờ 45 phút']",Ông Bình chạy bộ lúc 6 giờ kém 15 phút hay 5 giờ 45 phút,C. 5 giờ 45 phút
116,2 giờ = … phút. Số thích hợp điền vào chỗ chấm là:,"['A. 120 phút', 'B. 110 phút', 'C. 60 phút', 'D. 240 phút']",,A. 120 phút
1162,"Sau khi cắt được một lượng lớn cỏ tươi, mẹ dùng quang gánh mang số cỏ đó về nhà cho bò ăn. Mỗi bên quang gánh có khoảng 25 kg cỏ. Mẹ gánh 3 chuyến thì hết số cỏ cắt được. Vậy mẹ cắt được là:","['A. 50 kg cỏ', 'B. 75 kg cỏ', 'C. 100 kg cỏ', 'D. 150 kg cỏ']","Mỗi chuyến mẹ cắt được số ki-lô-gam cỏ là: 25 ${\times}$ 2 = 50 (kg)
 Mẹ cắt được số ki-lô-gam cỏ là: 50 ${\times}$ 3 = 150 (kg)",D. 150 kg cỏ
1167,Số “bảy mươi mốt nghìn chín trăm ba mươi lăm” viết là:,"['A. 17 935', 'B. 71 935', 'C. 71 395', 'D. 17 595']",Số “bảy mươi mốt nghìn chín trăm ba mươi lăm” viết là: 71 935.,B. 71 935
1169,Số “chín mươi tư” được viết là:,"['A. 94', 'B. 4', 'C. 9', 'D. 49']",Số “chín mươi tư” được viết là: 94,A. 94
117,2 giờ 20 phút chiều còn được gọi là:,"['A. 14 giờ 20 phút', 'B. 15 giờ 20 phút', 'C. 16 giờ 20 phút', 'D. 17 giờ 20 phút']",,A. 14 giờ 20 phút
1171,Số “Hai mươi mốt phẩy tám mươi sáu” viết là:,"['A. 201,806', 'B. 21,806', 'C. 21,86', 'D. 201,86']","Số “Hai mươi mốt phẩy tám mươi sáu” viết là: 21,86.","C. 21,86"
1175,Số “Mười tám phẩy hai trăm ba mươi hai” viết là:,"['A. 18,2302', 'B. 18,232', 'C. 18,322', 'D. 18,223']","Số “Mười tám phẩy hai trăm ba mươi hai” viết là: 18,232.","B. 18,232"
1179,"Số 0,72 viết dưới dạng tỉ số phần trăm là:","['A. 72%', 'B. 0,72%', 'C. 7,2%', 'D. 720%']","Số 0,72 viết dưới dạng tỉ số phần trăm là: 72%.",A. 72%
118,2 là số dư của phép chia:,"['A. 64 : 3', 'B. 407 : 4', 'C. 662 : 6', 'D. 554 : 5']","64 : 3 = 21 (dư 1) 
 407 : 4 = 101 (dư 3)
 662 : 6 = 110 (dư 2) 
 554 : 5 = 110 (dư 4)
 2 là số dư của phép chia: 662 : 6",C. 662 : 6
1182,Số 13 076 làm tròn đến chữ số hàng chục nghìn ta được số:,"['A. 10 000', 'B. 13 000', 'C. 13 050', 'D. 20 000']","Số 13 076 gần với số 10 000 hơn số 20 000.
 Vậy khi làm tròn số 13 076 đến hàng chục nghìn ta được số 10 000.",A. 10 000
119,2 ngày = … giờ?,"['A. 12', 'B. 24', 'C. 48', 'D. 56']",,C. 48
12,"Cho biết: 18, 987 = 18 + 0,9 + …. + 0,007
 Số thích hợp để viết vào chỗ chấm là:","['A. 8', 'B. 0,8', 'C. 0,08', 'D. 0,008']",,"C. 0,08"
120,"2,05 ha = ...........m2","['A. 25 000', 'B. 20 050', 'C. 20 500', 'D. 20 005']",,C. 20 500
1208,"Số 4 trong số thập phân 325,047 thuộc hàng:","['A. Chục', 'B. Đơn vị', 'C. Phần mười', 'D. Phần trăm']","Số 4 trong số thập phân 325,047 thuộc hàng: phần trăm.",D. Phần trăm
1209,Số 405 đọc là:,"['A. Bốn không năm', 'B. Bốn trăm linh lăm', 'C. Bốn trăm linh năm', 'D. Bốn trăm không năm']",Số 405 đọc là: Bốn trăm linh năm,C. Bốn trăm linh năm
121,"2,3 giờ = ..... giờ ... phút?","['A. 2 giờ 18 phút', 'B. 2 giờ 30 phút', 'C. 2 giờ 3 phút', 'D. 2 giờ 36 phút']",,A. 2 giờ 18 phút
1213,Số 504 đọc là:,"['A. Năm trăm không bốn', 'B. Năm trăm tư', 'C. Năm trăm bốn', 'D. Năm trăm linh tư']",Số 504 đọc là: Năm trăm linh tư,D. Năm trăm linh tư
122,20 giờ tối còn gọi là:,"['A. 8 giờ tối', 'B. 9 giờ tối', 'C. 8 giờ chiều', 'D. 10 giờ đêm']",,A. 8 giờ tối
1224,Số 689 được viết thành:,"['A. 6 + 8 + 9', 'B. 600 + 90 + 8', 'C. 600 + 80 + 9', 'D. 600 + 90']",Số 689 được viết thành: 600 + 80 + 9,C. 600 + 80 + 9
1225,"Số 7,305 đọc là:","['A. Bảy phẩy ba trăm linh năm', 'B. Bảy phẩy ba mươi năm', 'C. Bảy phẩy ba trăm linh lăm', 'D. Bảy phẩy ba mươi lăm']","Số 7,305 đọc là: Bảy phẩy ba trăm linh năm.",A. Bảy phẩy ba trăm linh năm
1229,"Số 72,06 gấp 10 lần lên ta được:","['A. 720,6', 'B. 7206', 'C. 7,206', 'D. 0,7206']","72,06 ${\times}$ 10 = 720,6Số 72,06 gấp 10 lần lên ta được: 720,6.","A. 720,6"
123,20 là tích của hai số nào?,"['A. 2 và 5', 'B. 5 và 3', 'C. 2 và 10', 'D. 5 và 6']","Ta có: 2 ${\times}$ 5 = 105 ${\times}$ 3 = 152 ${\times}$ 10 = 205 ${\times}$ 6 = 30
 Vậy 20 là tích của 2 và 10",C. 2 và 10
1237,Số ba mươi nghìn không trăm linh một được viết là:,"['A. 30 001', 'B. 30 100', 'C. 30 101', 'D. 31 000']",Số ba mươi nghìn không trăm linh một được viết là: 30 001,A. 30 001
1238,Số bảy trăm linh tư viết là:,"['A. 704', 'B. 470', 'C. 407', 'D. 740']",Số bảy trăm linh tư viết là: 704,A. 704
1239,Số bé nhất có bốn chữ số khác nhau là:,"['A.9876', 'B.1000', 'C.1023', 'D.1230']",Số bé nhất có bốn chữ số khác nhau là 1023,C.1023
124,20 là tích của hai số nào?,"['A. 5 và 5', 'B. 2 và 10', 'C. 5 và 6', 'D. 2 và 4']","Ta có: 5 ${\times}$ 5 = 252 ${\times}$ 10 = 205 ${\times}$ 6 = 302 ${\times}$ 4 = 8
 Vậy 20 là tích của 2 và 10.",B. 2 và 10
1243,"Số bé nhất trong các số 0,56; 0,65; 0,596; 0,559 là:","['A. 0,56', 'B. 0,65', 'C. 0,596', 'D. 0,559']","Số 0,56; 0,596; 0,559 có hàng phần mười là 5
 Số 0,56 có hàng phần trăm là 6
 Số 0,596 có hàng phần trăm là 9 
 Số 0,559 có hàng phần trăm là 5
 Do 5 6 9 nên 0,559 0,56 0,596 Số 0,65 có hàng phần mười là 6 Do 5 6 nên 0,559 0,56 0,596 0,65 Vậy số bé nhất trong các số trên là: 0,559","D. 0,559"
1247,"Số bé nhất trong các số 7,358; 7,385; 7,538; 7,583 là:","['A. 7,358', 'B. 7,385', 'C. 7,538', 'D. 7,583']","Các số 7,358; 7,385; 7,538; 7,583 đều có cùng phần nguyên là 7.+ Số 7,358; 7,385 đều có hàng phần 10 là 3. Số 7,358 có hàng phần 100 là 5; số 7,385 có hàng phần 100 là 8. Do 5 8 nên 7,358 7,385.+ Số 7,538; 7,583 đều có hàng phần 10 là 5. Số 7,538 có hàng phần 100 là 3; số 7,583 có hàng phần 100 là 8. Do 3 8 nên 7,538 7,583.Vì 3 5 nên 7,358 7,385 7,538 7,583.
 Vậy số nhỏ nhất trong các số trên là 7,358.","A. 7,358"
1249,"Số bé nhất trong các số 9,25; 8,25; 7,89; 6,98 là:","['A. 9,25', 'B. 8,25', 'C. 7,89', 'D. 6,98']","So sánh các số 9,25; 8,25; 7,89; 6,98 có:
 Phần nguyên: 6 < 7 < 8 < 9
 Vậy: 6,98 7,89 8,25 9,25
 Vậy số bé nhất trong các số 9,25; 8,25; 7,89; 6,98 là: 6,98","D. 6,98"
